,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Cost Matrix(Risk)
0,<0 DM,6,critical account,radio/television,1169,no savings account,>=7 years,4,male:single,none,4,real estate,67,none,own,2,skilled employee / official,1,yes,yes,Good Risk
1,0 <= <200 DM,48,existing credits paid back duly till now,radio/television,5951,<100 DM,1<= < 4 years,2,female:divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee / official,1,none,yes,Bad Risk
2,no checking account,12,critical account,education,2096,<100 DM,4<= <7 years,2,male:single,none,3,real estate,49,none,own,1,unskilled - resident,2,none,yes,Good Risk
3,<0 DM,42,existing credits paid back duly till now,furniture/equipment,7882,<100 DM,4<= <7 years,2,male:single,guarantor,4,savings agreement/life insurance,45,none,for free,1,skilled employee / official,2,none,yes,Good Risk
4,<0 DM,24,delay in paying off,car (new),4870,<100 DM,1<= < 4 years,3,male:single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes,Bad Risk
5,no checking account,36,existing credits paid back duly till now,education,9055,no savings account,1<= < 4 years,2,male:single,none,4,unknown / no property,35,none,for free,1,unskilled - resident,2,yes,yes,Good Risk
6,no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,500 <= < 1000 DM,>=7 years,3,male:single,none,4,savings agreement/life insurance,53,none,own,1,skilled employee / official,1,none,yes,Good Risk
7,0 <= <200 DM,36,existing credits paid back duly till now,car (used),6948,<100 DM,1<= < 4 years,2,male:single,none,2,car or other,35,none,rent,1,management/ highly qualified employee,1,yes,yes,Good Risk
8,no checking account,12,existing credits paid back duly till now,radio/television,3059,>= 1000 DM,4<= <7 years,2,male:divorced/separated,none,4,real estate,61,none,own,1,unskilled - resident,1,none,yes,Good Risk
9,0 <= <200 DM,30,critical account,car (new),5234,<100 DM,unemployed,4,male:married/widowed,none,2,car or other,28,none,own,2,management/ highly qualified employee,1,none,yes,Bad Risk
10,0 <= <200 DM,12,existing credits paid back duly till now,car (new),1295,<100 DM,<1 years,3,female:divorced/separated/married,none,1,car or other,25,none,rent,1,skilled employee / official,1,none,yes,Bad Risk
11,<0 DM,48,existing credits paid back duly till now,business,4308,<100 DM,<1 years,3,female:divorced/separated/married,none,4,savings agreement/life insurance,24,none,rent,1,skilled employee / official,1,none,yes,Bad Risk
12,0 <= <200 DM,12,existing credits paid back duly till now,radio/television,1567,<100 DM,1<= < 4 years,1,female:divorced/separated/married,none,1,car or other,22,none,own,1,skilled employee / official,1,yes,yes,Good Risk
13,<0 DM,24,critical account,car (new),1199,<100 DM,>=7 years,4,male:single,none,4,car or other,60,none,own,2,unskilled - resident,1,none,yes,Bad Risk
14,<0 DM,15,existing credits paid back duly till now,car (new),1403,<100 DM,1<= < 4 years,2,female:divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee / official,1,none,yes,Good Risk
15,<0 DM,24,existing credits paid back duly till now,radio/television,1282,100 <= <500 DM,1<= < 4 years,4,female:divorced/separated/married,none,2,car or other,32,none,own,1,unskilled - resident,1,none,yes,Bad Risk
16,no checking account,24,critical account,radio/television,2424,no savings account,>=7 years,4,male:single,none,4,savings agreement/life insurance,53,none,own,2,skilled employee / official,1,none,yes,Good Risk
17,<0 DM,30,no credits taken,business,8072,no savings account,<1 years,2,male:single,none,3,car or other,25,bank,own,3,skilled employee / official,1,none,yes,Good Risk
18,0 <= <200 DM,24,existing credits paid back duly till now,car (used),12579,<100 DM,>=7 years,4,female:divorced/separated/married,none,2,unknown / no property,44,none,for free,1,management/ highly qualified employee,1,yes,yes,Bad Risk
19,no checking account,24,existing credits paid back duly till now,radio/television,3430,500 <= < 1000 DM,>=7 years,3,male:single,none,2,car or other,31,none,own,1,skilled employee / official,2,yes,yes,Good Risk
20,no checking account,9,critical account,car (new),2134,<100 DM,1<= < 4 years,4,male:single,none,4,car or other,48,none,own,3,skilled employee / official,1,yes,yes,Good Risk
21,<0 DM,6,existing credits paid back duly till now,radio/television,2647,500 <= < 1000 DM,1<= < 4 years,2,male:single,none,3,real estate,44,none,rent,1,skilled employee / official,2,none,yes,Good Risk
22,<0 DM,10,critical account,car (new),2241,<100 DM,<1 years,1,male:single,none,3,real estate,48,none,rent,2,unskilled - resident,2,none,no,Good Risk
23,0 <= <200 DM,12,critical account,car (used),1804,100 <= <500 DM,<1 years,3,male:single,none,4,savings agreement/life insurance,44,none,own,1,skilled employee / official,1,none,yes,Good Risk
